"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Joel Embiid","PHI","PF,C DTD","33.1","10.2","4.2","1.7","1.0",".548",".857","1.0","3.4","66","34.6","10.0","10.0","1.21","3.1"
"Giannis Antetokounmpo","MIL","PF,C DTD","31.1","11.8","5.7","0.8","0.8",".553",".645","0.7","3.9","63","32.1","7.9","10.5","1.45","3.1"
"Anthony Davis","LAL","PF,C DTD","25.9","12.5","2.6","2.0","1.1",".563",".784","0.3","2.2","56","34.0","6.2","9.3","1.21","2.6"
"Lauri Markkanen","UTH","PF,C DTD","25.6","8.6","1.9","0.6","0.6",".499",".875","3.0","1.9","66","34.4","5.3","5.6","0.97","2.1"
"Julius Randle","NYK","PF,C","25.1","10.0","4.1","0.3","0.6",".460",".757","2.8","2.8","77","35.5","5.2","5.7","1.46","3.0"
"Nikola Jokic","DEN","PF,C","24.5","11.8","9.8","0.7","1.3",".632",".822","0.8","3.6","69","33.7","4.9","8.5","2.74","2.5"
"Pascal Siakam","TOR","PF,C","24.2","7.8","5.8","0.5","0.9",".480",".774","1.3","2.4","71","37.4","5.2","7.6","2.45","3.2"
"Kristaps Porzingis","WAS","PF,C OUT","23.2","8.4","2.7","1.5","0.9",".498",".851","2.1","2.1","65","32.6","5.4","5.7","1.27","3.0"
"Karl-Anthony Towns","MIN","C DTD","20.8","8.1","4.8","0.6","0.7",".495",".874","2.1","3.0","29","33.0","4.1","5.2","1.63","3.8"
"Bam Adebayo","MIA","PF,C","20.4","9.2","3.2","0.8","1.2",".540",".806","0.0","2.5","75","34.6","4.3","8.0","1.28","2.8"
"Domantas Sabonis","SAC","PF,C","19.1","12.3","7.3","0.5","0.8",".615",".742","0.4","2.9","79","34.6","4.1","6.9","2.49","3.5"
"Jaren Jackson Jr.","MEM","PF,C","18.6","6.8","1.0","3.0","1.0",".506",".788","1.6","1.7","63","28.4","3.8","5.0","0.56","3.6"
"Deandre Ayton","PHO","C OUT","18.0","10.0","1.7","0.8","0.6",".589",".760","0.1","1.8","67","30.4","2.3","7.7","0.96","2.8"
"Myles Turner","IND","PF,C DTD","17.7","7.4","1.4","2.2","0.6",".548",".783","1.5","1.6","63","29.0","3.4","4.9","0.86","3.4"
"Nikola Vucevic","CHI","C","17.6","11.0","3.2","0.7","0.7",".520",".835","1.5","1.7","82","33.5","1.6","5.8","1.91","2.2"
"Christian Wood","DAL","PF,C DTD","16.6","7.3","1.8","1.1","0.4",".515",".772","1.6","1.8","67","25.9","3.2","4.3","1.00","2.5"
"Evan Mobley","CLE","C,PF","16.2","9.0","2.8","1.5","0.8",".554",".673","0.3","1.8","79","34.4","2.6","6.4","1.53","2.8"
"Brook Lopez","MIL","C","15.9","6.7","1.3","2.5","0.5",".531",".784","1.7","1.4","78","30.4","1.9","4.4","0.93","2.6"
"P.J. Washington","CHA","PF,C OUT","15.7","4.9","2.4","1.1","0.9",".444",".730","2.0","1.5","73","32.6","1.7","3.9","1.59","2.6"
"Wendell Carter Jr.","ORL","C DTD","15.2","8.7","2.3","0.6","0.5",".526",".739","1.4","1.9","57","29.6","2.5","4.2","1.25","2.8"
"Alperen Sengun","HOU","C","14.8","9.0","3.9","0.9","0.9",".553",".715","0.3","2.6","75","28.9","2.7","5.6","1.51","3.4"
"Jarrett Allen","CLE","C DTD","14.3","9.8","1.7","1.2","0.8",".644",".733","0.0","1.4","68","32.6","2.4","5.9","1.22","2.3"
"Jonas Valanciunas","NOR","C DTD","14.1","10.2","1.8","0.7","0.3",".547",".826","0.5","2.0","79","24.9","2.3","5.2","0.88","3.1"
"Bobby Portis Jr.","MIL","PF,C","14.1","9.6","1.5","0.2","0.4",".496",".768","1.4","1.2","70","26.0","1.4","4.3","1.30","1.6"
"Rudy Gobert","MIN","C","13.4","11.6","1.2","1.4","0.8",".659",".644","0.0","1.7","70","30.7","3.1","5.1","0.71","3.0"
"Jusuf Nurkic","POR","C OUT","13.3","9.1","2.9","0.8","0.8",".519",".662","0.8","2.3","52","26.8","2.4","4.2","1.25","3.6"
"John Collins","ATL","PF,C","13.1","6.5","1.2","1.0","0.6",".508",".803","1.0","1.1","71","30.0","2.0","4.1","1.08","3.1"
"Nic Claxton","BKN","C,PF","12.6","9.2","1.9","2.5","0.8",".705",".541","0.0","1.3","76","29.9","1.8","5.4","1.50","2.8"
"Jakob Poeltl","TOR","C","12.5","9.1","2.7","1.2","0.9",".629",".592","0.0","1.7","72","26.5","1.7","5.4","1.58","2.7"
"Kelly Olynyk","UTH","PF,C","12.5","6.2","3.7","0.5","0.9",".499",".853","1.4","2.5","68","28.6","2.9","2.7","1.50","3.4"
"Clint Capela","ATL","C","12.0","11.0","0.9","1.2","0.7",".653",".603","0.0","0.8","65","26.6","1.2","5.4","1.07","2.1"
"Marvin Bagley III","DET","PF,C OUT","12.0","6.4","0.9","0.7","0.5",".529",".750","0.5","1.1","42","23.6","1.9","4.4","0.78","1.9"
"Zach Collins","SAS","PF,C DTD","11.6","6.4","2.9","0.8","0.6",".518",".761","0.9","2.0","63","22.9","1.7","3.6","1.40","3.2"
"Naz Reid","MIN","C","11.5","4.9","1.1","0.8","0.6",".537",".677","1.1","1.4","68","18.4","1.3","3.5","0.84","2.6"
