"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Joel Embiid","PHI","PF,C DTD","33.1","10.2","4.2","1.7","1.0",".548",".857","1.0","3.4","66","34.6","10.0","10.0","1.21","3.1"
"Giannis Antetokounmpo","MIL","PF,C DTD","31.1","11.8","5.7","0.8","0.8",".553",".645","0.7","3.9","63","32.1","7.9","10.5","1.45","3.1"
"Jayson Tatum","BOS","SF,PF","30.1","8.8","4.6","0.7","1.1",".466",".854","3.2","2.9","74","36.9","7.2","6.6","1.61","2.2"
"Kevin Durant","PHO","SF,PF","29.1","6.7","5.0","1.4","0.7",".560",".919","2.0","3.3","47","35.6","6.5","8.3","1.51","2.1"
"LeBron James","LAL","PG,SG,SF,PF DTD","28.9","8.3","6.8","0.6","0.9",".500",".768","2.2","3.2","55","35.5","4.6","8.9","2.11","1.6"
"Zion Williamson","NOR","PF OUT","26.0","7.0","4.6","0.6","1.1",".608",".714","0.2","3.4","29","33.0","6.1","9.6","1.34","2.2"
"Anthony Davis","LAL","PF,C DTD","25.9","12.5","2.6","2.0","1.1",".563",".784","0.3","2.2","56","34.0","6.2","9.3","1.21","2.6"
"Lauri Markkanen","UTH","PF,C DTD","25.6","8.6","1.9","0.6","0.6",".499",".875","3.0","1.9","66","34.4","5.3","5.6","0.97","2.1"
"Julius Randle","NYK","PF,C","25.1","10.0","4.1","0.3","0.6",".460",".757","2.8","2.8","77","35.5","5.2","5.7","1.46","3.0"
"Brandon Ingram","NOR","SF,PF","24.7","5.5","5.8","0.4","0.7",".484",".882","1.4","3.3","45","34.2","5.3","7.6","1.77","2.6"
"DeMar DeRozan","CHI","SF,PF,SG","24.5","4.6","5.1","0.5","1.1",".504",".872","0.6","2.1","74","36.2","6.2","8.3","2.46","2.5"
"Nikola Jokic","DEN","PF,C","24.5","11.8","9.8","0.7","1.3",".632",".822","0.8","3.6","69","33.7","4.9","8.5","2.74","2.5"
"Pascal Siakam","TOR","PF,C","24.2","7.8","5.8","0.5","0.9",".480",".774","1.3","2.4","71","37.4","5.2","7.6","2.45","3.2"
"Paul George","LAC","SF,PF,SG","23.8","6.1","5.1","0.4","1.5",".457",".871","2.8","3.1","56","34.6","4.6","5.4","1.64","2.8"
"Kawhi Leonard","LAC","SG,SF,PF OUT","23.8","6.5","3.9","0.5","1.4",".512",".871","2.0","1.7","52","33.6","4.7","6.6","2.32","1.6"
"Kristaps Porzingis","WAS","PF,C OUT","23.2","8.4","2.7","1.5","0.9",".498",".851","2.1","2.1","65","32.6","5.4","5.7","1.27","3.0"
"Jimmy Butler","MIA","SF,PF,SG","22.9","5.8","5.3","0.3","1.8",".539",".851","0.6","1.6","64","33.4","7.4","6.9","3.37","1.3"
"Keldon Johnson","SAS","SF,PF OUT","22.0","5.0","2.9","0.2","0.7",".452",".749","2.1","2.1","63","32.8","3.9","5.9","1.37","2.0"
"Bojan Bogdanovic","DET","SF,PF","21.6","3.8","2.6","0.1","0.6",".488",".885","2.5","2.3","59","32.1","4.5","4.8","1.13","1.9"
"Kyle Kuzma","WAS","SF,PF","21.2","7.2","3.7","0.5","0.6",".448",".730","2.5","3.0","64","35.0","2.7","5.5","1.26","2.3"
"Jerami Grant","POR","SF,PF OUT","20.5","4.5","2.4","0.8","0.8",".475",".813","2.3","1.8","63","35.6","4.4","4.6","1.29","2.4"
"Bam Adebayo","MIA","PF,C","20.4","9.2","3.2","0.8","1.2",".540",".806","0.0","2.5","75","34.6","4.3","8.0","1.28","2.8"
"Kelly Oubre Jr.","CHA","SG,SF,PF OUT","20.3","5.2","1.1","0.4","1.4",".431",".760","2.3","1.3","48","32.2","3.3","5.1","0.84","2.9"
"Paolo Banchero","ORL","PF DTD","20.0","6.9","3.7","0.5","0.8",".427",".738","1.2","2.8","72","33.7","5.5","5.5","1.35","2.2"
"Louis King","PHI","PF,SF G-League","20.0","4.0","2.0","0.0","1.0",".615",".000","4.0","2.0","1","28.8","0.0","4.0","1.00","4.0"
"Domantas Sabonis","SAC","PF,C","19.1","12.3","7.3","0.5","0.8",".615",".742","0.4","2.9","79","34.6","4.1","6.9","2.49","3.5"
"Jaren Jackson Jr.","MEM","PF,C","18.6","6.8","1.0","3.0","1.0",".506",".788","1.6","1.7","63","28.4","3.8","5.0","0.56","3.6"
"Myles Turner","IND","PF,C DTD","17.7","7.4","1.4","2.2","0.6",".548",".783","1.5","1.6","63","29.0","3.4","4.9","0.86","3.4"
"Michael Porter Jr.","DEN","SF,PF","17.4","5.5","1.0","0.5","0.6",".487",".800","3.0","1.1","62","29.0","1.5","3.4","0.96","1.9"
"O.G. Anunoby","TOR","SF,PF","16.8","5.0","2.0","0.7","1.9",".476",".838","2.1","2.0","67","35.6","2.1","4.2","0.99","3.0"
"Christian Wood","DAL","PF,C DTD","16.6","7.3","1.8","1.1","0.4",".515",".772","1.6","1.8","67","25.9","3.2","4.3","1.00","2.5"
"Aaron Gordon","DEN","SF,PF","16.3","6.6","3.0","0.8","0.8",".564",".608","0.9","1.4","68","30.3","2.8","5.4","2.07","1.9"
"Evan Mobley","CLE","C,PF","16.2","9.0","2.8","1.5","0.8",".554",".673","0.3","1.8","79","34.4","2.6","6.4","1.53","2.8"
