"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Luka Doncic","DAL","PG,SG","32.4","8.6","8.0","0.5","1.4",".496",".742","2.8","3.6","66","36.2","7.8","8.1","2.24","2.5"
"Damian Lillard","POR","PG","32.2","4.8","7.3","0.3","0.9",".463",".914","4.2","3.3","58","36.3","8.8","5.4","2.23","1.9"
"Shai Gilgeous-Alexander","OKC","PG,SG","31.4","4.8","5.5","1.0","1.6",".510",".905","0.9","2.8","68","35.5","9.8","9.5","1.93","2.8"
"Stephen Curry","GSW","PG,SG","29.4","6.1","6.3","0.4","0.9",".493",".915","4.9","3.2","56","34.7","4.6","5.1","1.97","2.1"
"LeBron James","LAL","PG,SG,SF,PF","28.9","8.3","6.8","0.6","0.9",".500",".768","2.2","3.2","55","35.5","4.6","8.9","2.11","1.6"
"Donovan Mitchell","CLE","PG,SG","28.3","4.3","4.4","0.4","1.5",".484",".867","3.6","2.6","68","35.8","4.7","6.4","1.67","2.5"
"Devin Booker","PHO","SG,SF,PG","27.8","4.5","5.5","0.3","1.0",".494",".855","2.1","2.7","53","34.6","5.8","7.8","2.02","3.0"
"Kyrie Irving","DAL","PG,SG","27.1","5.1","5.5","0.8","1.1",".494",".905","3.1","2.1","60","37.3","4.1","6.8","2.59","2.8"
"Trae Young","ATL","PG","26.2","3.0","10.2","0.1","1.1",".430",".886","2.1","4.1","73","34.8","7.8","6.1","2.47","1.4"
"Ja Morant","MEM","PG SUS","26.2","5.9","8.1","0.3","1.1",".466",".749","1.5","3.4","61","31.9","6.1","7.8","2.39","1.6"
"De'Aaron Fox","SAC","PG","25.0","4.2","6.1","0.3","1.1",".512",".780","1.6","2.5","73","33.4","4.7","7.7","2.47","2.4"
"Jalen Brunson","NYK","PG,SG","24.0","3.5","6.2","0.2","0.9",".491",".829","2.0","2.1","68","35.0","4.8","6.7","2.96","2.2"
"LaMelo Ball","CHA","PG,SG OUT","23.3","6.4","8.4","0.3","1.3",".411",".836","4.0","3.6","36","35.2","2.8","4.2","2.36","3.3"
"Darius Garland","CLE","PG,SG","21.6","2.7","7.8","0.1","1.2",".462",".863","2.4","2.9","69","35.5","4.0","5.1","2.70","2.1"
"Desmond Bane","MEM","PG,SG,SF","21.5","5.0","4.4","0.4","1.0",".479",".883","2.9","2.2","58","31.7","3.1","4.9","2.02","2.6"
"Terry Rozier","CHA","PG,SG","21.1","4.1","5.1","0.3","1.2",".415",".809","2.6","2.1","63","35.3","2.8","5.2","2.38","1.9"
