"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Jayson Tatum","BOS","SF,PF","30.1","8.8","4.6","0.7","1.1",".466",".854","3.2","2.9","74","36.9","7.2","6.6","1.61","2.2"
"Kevin Durant","PHO","SF,PF","29.1","6.7","5.0","1.4","0.7",".560",".919","2.0","3.3","47","35.6","6.5","8.3","1.51","2.1"
"LeBron James","LAL","PG,SG,SF,PF DTD","28.9","8.3","6.8","0.6","0.9",".500",".768","2.2","3.2","55","35.5","4.6","8.9","2.11","1.6"
"Devin Booker","PHO","SG,SF,PG","27.8","4.5","5.5","0.3","1.0",".494",".855","2.1","2.7","53","34.6","5.8","7.8","2.02","3.0"
"Jaylen Brown","BOS","SG,SF","26.6","6.9","3.5","0.4","1.1",".491",".765","2.4","2.9","67","35.9","3.9","7.7","1.18","2.6"
"Zach LaVine","CHI","SG,SF","24.8","4.5","4.2","0.2","0.9",".485",".848","2.6","2.5","77","36.0","4.7","6.1","1.68","2.1"
"Brandon Ingram","NOR","SF,PF","24.7","5.5","5.8","0.4","0.7",".484",".882","1.4","3.3","45","34.2","5.3","7.6","1.77","2.6"
"Anthony Edwards","MIN","SG,SF","24.6","5.8","4.4","0.7","1.6",".459",".756","2.7","3.3","79","36.0","4.0","6.3","1.35","2.4"
"DeMar DeRozan","CHI","SF,PF,SG","24.5","4.6","5.1","0.5","1.1",".504",".872","0.6","2.1","74","36.2","6.2","8.3","2.46","2.5"
"Paul George","LAC","SF,PF,SG","23.8","6.1","5.1","0.4","1.5",".457",".871","2.8","3.1","56","34.6","4.6","5.4","1.64","2.8"
"Kawhi Leonard","LAC","SG,SF,PF OUT","23.8","6.5","3.9","0.5","1.4",".512",".871","2.0","1.7","52","33.6","4.7","6.6","2.32","1.6"
"Bradley Beal","WAS","SG,SF OUT","23.2","3.9","5.4","0.7","0.9",".506",".842","1.6","2.9","50","33.5","3.8","7.3","1.87","2.1"
"Jimmy Butler","MIA","SF,PF,SG","22.9","5.8","5.3","0.3","1.8",".539",".851","0.6","1.6","64","33.4","7.4","6.9","3.37","1.3"
"Keldon Johnson","SAS","SF,PF OUT","22.0","5.0","2.9","0.2","0.7",".452",".749","2.1","2.1","63","32.8","3.9","5.9","1.37","2.0"
"Klay Thompson","GSW","SG,SF","21.9","4.1","2.4","0.4","0.7",".436",".879","4.4","1.8","69","33.0","1.7","3.6","1.33","1.9"
"Bojan Bogdanovic","DET","SF,PF","21.6","3.8","2.6","0.1","0.6",".488",".885","2.5","2.3","59","32.1","4.5","4.8","1.13","1.9"
"Desmond Bane","MEM","PG,SG,SF","21.5","5.0","4.4","0.4","1.0",".479",".883","2.9","2.2","58","31.7","3.1","4.9","2.02","2.6"
"Kyle Kuzma","WAS","SF,PF","21.2","7.2","3.7","0.5","0.6",".448",".730","2.5","3.0","64","35.0","2.7","5.5","1.26","2.3"
"Jerami Grant","POR","SF,PF OUT","20.5","4.5","2.4","0.8","0.8",".475",".813","2.3","1.8","63","35.6","4.4","4.6","1.29","2.4"
"Kelly Oubre Jr.","CHA","SG,SF,PF OUT","20.3","5.2","1.1","0.4","1.4",".431",".760","2.3","1.3","48","32.2","3.3","5.1","0.84","2.9"
"Mikal Bridges","BKN","SG,SF","20.1","4.4","3.3","0.7","1.1",".468",".895","2.0","1.5","83","35.7","3.8","5.1","2.15","1.9"
"Louis King","PHI","PF,SF G-League","20.0","4.0","2.0","0.0","1.0",".615",".000","4.0","2.0","1","28.8","0.0","4.0","1.00","4.0"
"RJ Barrett","NYK","SG,SF","19.6","5.0","2.8","0.2","0.4",".434",".740","1.7","2.2","73","33.9","4.0","5.3","1.23","2.5"
"Kevin Porter Jr.","HOU","SG,SF,PG OUT","19.2","5.3","5.7","0.3","1.4",".442",".784","2.4","3.2","59","34.3","3.5","4.2","1.80","2.6"
"Franz Wagner","ORL","SG,SF","18.6","4.1","3.5","0.2","1.0",".485",".842","1.6","2.1","80","32.6","3.4","5.2","1.69","2.3"
"Devin Vassell","SAS","SG,SF DTD","18.5","3.9","3.6","0.4","1.1",".439",".780","2.7","1.5","38","31.0","2.1","4.2","2.39","1.5"
"Gary Trent Jr.","TOR","SG,SF DTD","17.4","2.6","1.6","0.2","1.6",".433",".839","2.5","0.8","66","32.1","2.6","3.6","1.93","1.5"
"Michael Porter Jr.","DEN","SF,PF","17.4","5.5","1.0","0.5","0.6",".487",".800","3.0","1.1","62","29.0","1.5","3.4","0.96","1.9"
"Andrew Wiggins","GSW","SG,SF DTD","17.1","5.0","2.3","0.8","1.2",".473",".611","2.4","1.3","37","32.2","1.2","4.4","1.77","2.9"
"Norman Powell","LAC","SG,SF","17.0","2.9","1.8","0.3","0.8",".479",".812","1.9","1.7","60","26.1","3.8","3.8","1.09","2.1"
"Buddy Hield","IND","SG,SF","16.8","5.0","2.8","0.3","1.2",".458",".822","3.6","1.7","80","31.0","1.3","2.3","1.62","2.0"
"O.G. Anunoby","TOR","SF,PF","16.8","5.0","2.0","0.7","1.9",".476",".838","2.1","2.0","67","35.6","2.1","4.2","0.99","3.0"
"Bennedict Mathurin","IND","SF DTD","16.7","4.1","1.5","0.2","0.6",".434",".830","1.3","1.9","78","28.5","4.8","4.0","0.76","2.1"
"Aaron Gordon","DEN","SF,PF","16.3","6.6","3.0","0.8","0.8",".564",".608","0.9","1.4","68","30.3","2.8","5.4","2.07","1.9"
"Cameron Johnson","BKN","SF,PF","15.5","4.4","1.9","0.3","1.2",".471",".842","2.5","0.9","42","28.6","2.4","2.9","2.11","2.0"
